Word,Freq,Rates,Word,Freq,Rates
is not,1,-3,isn't,1,-3
are not,1,-3,aren't,1,-3
was not,1,-3,wasn't,1,-3
were not,1,-3,weren't,1,-3
have not,1,-3,haven't,1,-3
has not,1,-3,hasn't,1,-3
had not,1,-3,hadn't,1,-3
will not,1,-3,won't,1,-3
would not,1,-3,wouldn't,1,-3
do not,1,-3,don't,1,-3
does not,1,-3,doesn't,1,-3
did not,1,-3,didn't,1,-3
cannot,1,-3,can't,1,-3
could not,1,-3,couldn't,1,-3
should not,1,-3,shouldn't,1,-3
might not,1,-3,mightn't,1,-3
must not,1,-3,mustn't,1,-3
